Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Key Responsibilities: Team leads for small or module leads for large teams. Responsible for delivery of assigned module/ components /phases of a project.Responsible for people Management, including goal setting and providing performance feedback.Responsible for Status reporting .Responsible for Knowledge transfer and arriving at SLAs for steady state.Technical problem solving skills. Job Requirement and Skills Has a good practical understanding of technology and its application. Good grasp of technology and tools used for development. Good design skills and architectural skills in the technical area.Fair amount of domain expertise gained through working on the application or certification programs (if working in a vertical).Good understanding of the sphere of activities in a horizontal domain. Anticipates and resolves potential problems , handles escalations. Supervisory Level: Works under general supervision with few direct instructions. Carries out routine and semi-routine tasks. Provides input to project-related decisions.People Interactions Within own team or department at operational level.Contact with user/customer at peer / first /middle management level. Qualifications",3.8,"ECS
3.8",Chennai,"Size
501 to 1000 Employees","Founded
2008","Type
Company - Private","Industry
IT Service","Sector
Information Technology","Revenue
Unknown / Non-Applicable"
Data Scientist,-1,"Three positions are currently available in Pune, India. The next hiring for one position in Sunnyvale, CA will be in Q3, 2021. Title seniority and salary are set to the experience level of the applicant.
Role and Responsibilities
Execute data mining projects, training and deploying models over a typical duration of 2 -12 months.
The ideal candidate should be able to innovate, analyze the customer requirement, develop a solution in the time box of the project plan, execute and deploy the solution.
Integrate the data mining projects embedded data mining applications in the FogHorn platform (on Docker or Android).",4.1,"Foghorn Systems
4.1",Pune,"Size
51 to 200 Employees","Founded
2014","Type
Company - Private","Industry
Enterprise Software & Network Solutions","Sector
Information Technology","Revenue
Unknown / Non-Applicable"
Data Scientist,-1,"About AlphaSense:
AlphaSense is a search engine for market intelligence that transforms how decisions are made by the world's leading corporations and financial institutions. Leveraging AI and NLP technology, AlphaSense enables knowledge professionals to extract insights in seconds from thousands of disparate data sources, including company filings, event transcripts, news and trade journals, and equity research. Founded in 2011 and backed by investors including Innovation Endeavors and Soros Fund Management, AlphaSense is on a mission to empower organizations to make data-driven decisions with confidence.

About the Team:
The Data & Analytics team works across AlphaSense to make data an asset for growth. We do that through infrastructure, process, well-modeled and documented data, analysis, and deep partnership with the business. We own and manage the data stack, consisting of Segment, Fivetran, Stitch, Dataform, BigQuery and Looker. In addition to technical leadership, we partner across departments to raise the analytics bar, drive operational improvement, and support growth. Our work spans BI dashboards for business and executive users, ML models for critical business challenges, and data & infrastructure to support our AI engineers.


This data scientist role will join a growing Data & Analytics team to support high-impact, high-visibility initiatives addressing the most pressing needs in the business. The role will work directly with the VP of Data & Analytics in applying advanced analytics and AI/ML approaches to answer questions and power capabilities which build strategic advantages for AlphaSense as we serve our customers' market intelligence needs.


Minimum of 2 years relevant work experience (e.g. as a data scientist) or equivalent

Experience with relevant programming languages (e.g. Python, R), AI/ML libraries (e.g. Scikit) and querying languages (e.g. SQL)

Track record of delivering valuable business insights using advanced analytics / statistical approaches (e.g. experimentation, hypothesis testing, etc.)

History of successful ideation, design, iteration, development, testing, and deployment of statistical forecasting and machine learning models to solve real-world problems

Passionate advocate for and practitioner of making data-driven decisions with a bias for impact

Constant learner, one who embraces and exemplifies a Growth Mindset


Consult on and/or lead the design and implementation of experiments to inform critical business decisions (e.g. A/B testing product features)

Train, test, scale, and deploy supervised and unsupervised machine learning models to deliver differentiated capabilities and deeper insights to the business (e.g. classification models to determine trial user conversion success, customer churn, or product virality vectors; regression/forecasting revenue, end-user behaviors, etc.; customer segmentation)

Partner with stakeholders across the business (product, sales, marketing, revenue operations, customer success, finance, etc.) to source, define, and deliver advanced insights and/or ML capabilities to address the highest-value scenarios in the enterprise

Learn from and contribute to AI/ML approaches used in the AlphaSense product in order to deliver best-in-class customer experience and value (in partnership with Product and AI research teams)

Contribute to the learning and growth of a team of engineers, analysts, and data scientists building data-as-a-platform and analytics-as-a-service vision for internal AlphaSense stakeholders

AlphaSense is an equal opportunity employer. We are committed to a work environment that supports, inspires, and respects all individuals. All employees share in the responsibility for fulfilling AlphaSense's commitment to equal employment opportunity. AlphaSense does not discriminate against any employee or applicant on the basis of race, color, sex (including pregnancy), national origin, age, religion, marital status, sexual orientation, gender identity, gender expression, military or veteran status, disability, or any other non-merit factor. This policy applies to every aspect of employment at AlphaSense, including recruitment, hiring, training, advancement, and termination.

In addition, it is the policy of AlphaSense to provide reasonable accommodation to qualified employees who have protected disabilities to the extent required by applicable laws, regulations, and ordinances where a particular employee works.",4.3,"AlphaSense
4.3",Pune,"Size
201 to 500 Employees","Founded
2011","Type
Company - Private","Industry
Enterprise Software & Network Solutions","Sector
Information Technology","Revenue
Unknown / Non-Applicable"
Data Scientist,-1,"COMPANY OVERVIEW
Tata Group is an Indian multinational conglomerate company headquartered in Mumbai, India. It encompasses seven business sectors: communications and information technology, engineering, materials, services, energy, consumer products and chemicals. Tata Group was founded in 1868 by Jamsetji Tata as a trading company. It has operations in more than 80 countries across six continents. Tata Group has over 100 operating companies with each of them operating independently.
Tata Sons is the promoter of all key Tata companies and holds the bulk of shareholding in these companies.

BACKGROUND The Tata companies together serve over million consumer and commercial customers today across several products and services. In order for the Tata companies to better understand customer and client needs and preferences, action life stages, needs, value, and potential, and enhance value and experience; the Tata companies need to develop robust data and information management capability and customer analytics. The vision is to eventually create the best in-house capability for data analytics amongst any large corporate. To achieve the above aims, it has been decided to establish an independent Tata company focused on building a common data analytics platform and help Tata Group companies. This company is being incubated in the initial phase as a division of Tata Industries and will subsequently be structured as a separate company to build Big Data Analytics and Data Science capabilities catering to but not limited to the ‘Consumer’ brands of the group.


Company: Tata - Insights and Quants – A Newly started division by Tata Industries.
http://www.livemint.com/Companies/PCgvCZILuJKV68UKVHZRJO/With-new-analytics-arm-Tata-aims-to-make-better-sense-of-da.html
Tata iQ in 18 months of its inception was recognized in the list of Analytics India Magazine’s (AIM)

http://analyticsindiamag.com/top-10-analytics-firm-wish-worked-2016/
Fourteen Tata companies are partnering Tata Insights and Quants (Tata iQ), a Big Data firm, to analyse data collected from users, consumers and make sense of it to put changes in place
http://www.livemint.com/Companies/5om8ebrv6p02jGCcRB3j3K/Tata-companies-use-Big-Data-to-craft-strategies.html
https://cio.economictimes.indiatimes.com/news/strategy-and-management/how-ranjit-satyanath-plugs-into-it-to-power-up-croma-for-the-digital-era/65050926

In line with the Tata group’s philosophy of giving back more to the society than what it takes, Tata iQ, Tata group’s big data and decision Sciences Company.
Okhai partners with Tata iQ to deliver big impact through big data


Data Scientist
Analyst – Associate - Senior Associate
Individual Contributor
Mumbai | Bangalore | Jamshedpur | Kalinga Nagar – All Options open

The incumbent will be part of the Predictive Analytics, Digital Analytics, Data Sciences, Advanced Visualization, Insights & Experimentation team and will report to the Manager/Senior Manager. He/she will be an individual contributor working on multiple data sciences, advanced visualization and data management initiatives across multiple companies and industries leveraging traditional and big data. The incumbent will have the unique opportunity to witness the application of analytics across multiple industry verticals. Close partnership with business and the senior leadership of multiple Tata Companies will enable a clear understanding of the business perspectives and the application of analytics for solving real business problems.


o Regression, Simulation, Scenario Analysis
o Time Series Modelling
o Classification - Logistic Regression, Decision Trees, SVM, KNN, Naive Bayes
o Clustering, K-Means
o Ensemble Models - Random Forest, Boosting, Bagging
o Neural Networks",-1,Tata Insights and Quants,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Must Have:
2 Years experience in Power BI, SQL and Python, Advanced EXCEL and VBA

Requirements",4.3,"Proziod Analytics
4.3",Bangalore,"Size
1 to 50 Employees","Founded
2016","Type
Company - Private","Industry
IT Service","Sector
Information Technology","Revenue
Less than $1 million (USD)"
Data Scientist,-1,"JOB LOCATION
Hyderabad (SAL) IN
JOB POSTING TITLE
Data Scientist
THE CHALLENGE
The data scientist will play a pivotal role in planning, executing and delivering machine learning-based projects. The bulk of the work will be in machine learning (ML) modelling, management and problem analysis, data exploration and preparation, data collection and integration, operationalization. The newly hired data scientist will be a key interface between the analytics team and the business unit(s) and other Digital Transformation (DT) Teams. Candidates need to be very much self-driven, curious and creative. The role may also support the related roles of data engineer and DevOps engineer at times.",3.9,"GE Appliances
3.9",Hyderābād,"Size
10000+ Employees","Founded
2016","Type
Subsidiary or Business Segment","Industry
Consumer Products Manufacturing","Sector
Manufacturing","Revenue
$5 to $10 billion (USD)"
Data Scientist,-1,"Job Description:
Kline, a global management consulting and market research firm, is looking for a Data Scientist. This data science professional will help interpret and draw inferences from the information hidden in vast amounts of data, both internal and external, to make more meaningful and insightful decisions that will enable the delivery of better products and services.
Job Responsibilities:
Data mining and analysis using state-of-the-art methods
Processing, cleansing, and verifying the integrity of data used for analyses
Building and optimizing data models using machine learning techniques",3.5,"Kline & Company
3.5",Hyderābād,"Size
51 to 200 Employees","Founded
1959","Type
Company - Private","Industry
Consulting","Sector
Business Service","Revenue
$10 to $25 million (USD)"
Data Scientist,-1,"Data Science @ Tookitaki
The data science team is responsible for solving business problems with complex data. Data complexity could be characterized in terms of volume, dimensionality and multiple touchpoints/sources. We understand the data, ask fundamental-first-principle questions, apply our analytical and machine learning skills to solve the problem in the best way possible. We also encourage to participate in competitions like Kaggle.
Our ideal candidate
We are looking for a junior data scientist who has a deep interest in theoretical and applied machine learning and loves working in a fast-paced environment.
He/she should have 3-5 years’ work experience in predictive analytics/forecasting space and have solved real-world problems. Candidates with experience in transactional anomaly prediction, operational risk modelling would be given preference.",4.5,"Tookitaki
4.5",Bangalore,"Size
51 to 200 Employees","Founded
2014","Type
Company - Private","Industry
Enterprise Software & Network Solutions","Sector
Information Technology","Revenue
$1 to $5 million (USD)"
Data Scientist,-1,"NLP, ML, Python/R, Hadoop, strong mathematical bacground
If you are intrested, please send us your resume at hr@teqnirvana.com",4.1,"TEQNirvana
4.1",Mumbai,"Size
1 to 50 Employees","Founded
2005","Type
Company - Private","Industry
Staffing & Outsourcing","Sector
Business Service","Revenue
Unknown / Non-Applicable"
Data Scientist,-1,"Article
Video Book
Do you feel passionately about solving problems through data? Have you spent 2+ years solving business problems through data?
Do you aspire to take data science to millions of people out there? Can the leader in you make people follow data science out of sheer passion? Would you enjoy helping people solve problems with out expecting any thing in return?
If the answer to all the questions is yes – look no more. Analytics Vidhya is looking for evangelists who can carry and deliver their baton to the world.",3.9,"Analytics Vidhya
3.9",Gurgaon,"Size
1 to 50 Employees","Type
Company - Private","Revenue
Unknown / Non-Applicable",-1,-1,-1
Data Scientist,-1,"Bangalore


Apply technical and analytical expertise to exploring and examining data from multiple disparate sources with the goal of discovering patterns and previously hidden insights that in turn can provide a competitive advantage or address a pressing business problem
Leverage expertise in computer science, software development, and the latest technologies to analyze and implement analysis infrastructure and tools, analytic workflow processes, and complex data visualizations
Use comprehension of mathematical and statistical concepts, computer science, or domain expertise to bridge the gap between technologists and mathematicians, ensuring software solutions meet analytic requirements. Provide work leadership to junior employees, as needed",5.0,"Talent Zone Consultants
5.0",Bangalore,"Size
Unknown","Type
Company - Public","Revenue
Unknown / Non-Applicable",-1,-1,-1
Data Scientist,-1,"We are building our team to offer business and operations analytics solutions to our international and
domestic clients, and are looking for a Data Scientist with comprehensive knowledge of existing and next
gen analytics tools and technology platforms. Passionate, self-starter and innovative our Data Scientist will
bring expert skills and meaningful experience to fore, focusing primarily on Healthcare, Pharmaceuticals,
Banking, Financial Services & Insurance industry verticals.",4.5,"Profisor Services
4.5",Gurgaon,"Size
1 to 50 Employees","Type
Company - Private","Revenue
Unknown / Non-Applicable",-1,-1,-1
Data Scientist,-1,"Position summary:
Tanla Looking for a Data scientist to work in consumer data analytics team. As a Data Scientist, you will hold a highly indispensable analytical role that requires interaction and partnership with stakeholders across markets – be it Product Solutions, Solution Engineers, Sales or Product Managers. You will be responsible for solving problems client data (such as Attribution data points, PoS data etc.) as a part of the Business Analytics team. As a Data Scientist supporting a growing market, you will be expected to gather requirements, lead conversations with the broader team and execute Data Scientist projects. You should be an effective communicator capable of presenting insights and strategies to end consumers.

What you will be responsible for?

Decipher client problems from varied verticals into actionable analysis.
What you’d have?

Why join us?

competitive salary, flexible working hours, challenging product culture But the real perks are:

We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability, or veteran status.

https://www.tanla.com",4.2,"Tanla Solutions
4.2",Telangana,"Size
501 to 1000 Employees","Founded
1999","Type
Company - Public","Industry
Telecommunications Service","Sector
Telecommunication","Revenue
$100 to $500 million (USD)"
Data Scientist,-1,"Data Scientist | Financepeer | Hyderabad

Experience: 5.0 - 10.0 Years | CTC: Confidential | Functional Area: Business Intelligence;Data Analyst | Industry: Education; Financial services; Fintech; IT - Software Services | Location: Hyderabad, Telangana

About the Company:

Financepeer helps parents/students to pay their education fees in monthly installments that too at zero interest and zero cost. The education institution receives full year fees on behalf of parents from Financepeer at the beginning of the academic year( fee collection has no cap- can be Rs 1cr, Rs 10cr, Rs 100cr or above)

https://www.linkedin.com/in/rohitgajbhiye03/
https://www.linkedin.com/in/naveeshreddy/
https://www.facebook.com/financepeer/
https://www.instagram.com/finance_peer/?hl=en
https://twitter.com/_financepeer?lang=en
https://www.youtube.com/watch?v=mGjbU5Umi-4
https://www.youtube.com/watch?v=HAcBvnop6v4

data scientist, SQL, Python, R, Scala, C, C++, Java, JavaScript, Hadoop, Spark, Tableau



As Data Scientist, you will analyze, process, and model data then interpret the results to create actionable plans for companies and other organizations.

What will you do:

What you need to have:

| | |",4.7,"Unnati
4.7",Hyderābād,"Size
1 to 50 Employees","Founded
2005","Type
Company - Private","Industry
Staffing & Outsourcing","Sector
Business Service","Revenue
Unknown / Non-Applicable"
Data Scientist,-1,"Integrated Analytics build internal analytic partnerships, strengthening their focus on the health of the business, portfolio and revenue optimization opportunities, initiative tracking, new product development and Go-To Market strategies.
Are you excited about Data Assets and the value they brings to an organization?
Are you an evangelist for data driven decision making?
Are you motivated to be part of a Global Analytics team that builds large scale Analytical Capabilities supporting end users across 6 continents?
Do you want to be the go-to resource for data analytics in the company?

Role
All About You

Education

Additional Competencies",4.3,"MasterCard
4.3",Gurgaon,"Size
10000+ Employees","Founded
1966","Type
Company - Public","Industry
Financial Transaction Processing","Sector
Finance","Revenue
$5 to $10 billion (USD)"
Data Scientist,-1,"Looking for a hands-on and passionate Data-Scientist to design & build large-scale Predictive and Prescriptive solution(s) that are expected to provide meaningful pro-active business insights in Construction Tech Analytics software, thereby helping save $$$ to Oracle customers !

Key Competencies:
Hands-on model building for Data Science, NLP & Computer Vision problems. The ideal candidate understands human behavior and knows what to look for in the data, and can work closely with the engineering and product management teams to solve complex problems with unique data, analysis, algorithms, and insights, and is expected to build and lead a team around these competencies. We are looking for the following Key skills and Educational Qualifications & Industry experience levels:

Role:
Research and develop analysis, modeling, and optimization methods to improve the AI in Oracle CEGBU CIC product.

Participate in innovative research in machine intelligence and machine learning applications in a SaaS environment.

Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced ML methods as needed.

Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.

Provide recommendations on our ML and experimentation roadmap, proposing what to study and to develop to bring ML methods to scale.

Develop the experimentation platform by researching new methods and conducting rigorous analyses

Mentor other Data Scientists, and help them to develop their projects related to experimentation and evaluation

Provide guidance on statistical, deep learning and machine learning methodological problems across CEGBU.

Develop solutions for real world, large-scale problems.

Implement data science pipelines and applications in a general programming language such as Python, Spark, Scala or Java

Craft a measurement strategy to evaluate the performance of complex systems against challenging requirements


Experience in NLU/NLP, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence (Artificial Intelligence).

In-depth knowledge of machine learning algorithms and their applications including practical experience with and theoretical understanding of algorithms for classification, regression, clustering, deep learning and reinforcement learning.

Programming experience in Python, Java and JavaScript.

Strong communication and ability to explain difficult technical topics (especially causal topics) to everyone from data scientists to engineers to business partners.

Ability to ingest large data using at least one query language (e.g., SQL, Spark, etc.), and use one of scripting language for more sophisticated analyses (e.g., R, Python, Scala).

Self-starter with strong leadership abilities. Excellent presentation skills, distilling complex analysis and concepts into concise business-focused takeaways

Excellent problem solving, critical thinking, analytical and interpersonal skills

Able to work well with diverse roles such as product managers and engineers

Ability to handle multiple projects with strict deadlines

Experience with the machine learning life cycle and libraries in Python/Scala

Experience with one or more deep learning frameworks e.g., TensorFlow, PyTorch.

Working knowledge of relational databases, including SQL, and large-scale distributed systems such as Hadoop and Spark


Bachelors, Masters, or PhD Degree in Computer Science/Machine Learning or equivalent professional experience.

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.
Innovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. It’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. That’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.",3.8,"Oracle
3.8",Bangalore,"Size
10000+ Employees","Founded
1977","Type
Company - Public","Industry
Enterprise Software & Network Solutions","Sector
Information Technology","Revenue
$10+ billion (USD)"
